iter	Passed	Remaining
0	10	10116
1	31	15776
2	62	20762
3	76	19087
4	103	20497
5	125	20719
6	145	20629
7	167	20738
8	186	20498
9	207	20508
10	224	20195
11	235	19380
12	254	19345
13	282	19871
14	333	21916
15	374	23009
16	401	23215
17	427	23333
18	461	23843
19	482	23643
20	501	23363
21	541	24051
22	562	23910
23	588	23934
24	608	23744
25	628	23548
26	647	23329
27	669	23233
28	689	23094
29	708	22918
30	729	22817
31	751	22744
32	769	22536
33	793	22543
34	815	22480
35	839	22474
36	861	22421
37	883	22357
38	905	22312
39	933	22404
40	961	22483
41	987	22519
42	1022	22760
43	1055	22942
44	1099	23325
45	1130	23446
46	1165	23626
47	1188	23569
48	1214	23564
49	1239	23548
50	1268	23599
51	1289	23514
52	1314	23482
53	1346	23581
54	1370	23541
55	1396	23536
56	1422	23534
57	1451	23566
58	1478	23580
59	1503	23557
60	1526	23500
61	1544	23368
62	1571	23375
63	1595	23335
64	1622	23331
65	1653	23396
66	1685	23477
67	1711	23459
68	1730	23347
69	1759	23372
70	1784	23344
71	1803	23247
72	1831	23252
73	1853	23189
74	1866	23024
75	1887	22953
76	1913	22940
77	1933	22852
78	1958	22829
79	1976	22725
80	1995	22637
81	2023	22649
82	2043	22578
83	2067	22550
84	2093	22531
85	2107	22394
86	2129	22350
87	2153	22318
88	2170	22220
89	2194	22184
90	2219	22166
91	2241	22121
92	2270	22144
93	2294	22116
94	2320	22102
95	2350	22136
96	2375	22113
97	2397	22070
98	2426	22083
99	2444	21999
100	2468	21973
101	2486	21893
102	2508	21847
103	2526	21767
104	2546	21703
105	2562	21615
106	2586	21583
107	2606	21526
108	2627	21480
109	2652	21460
110	2675	21430
111	2700	21410
112	2723	21380
113	2749	21368
114	2768	21305
115	2788	21252
116	2812	21226
117	2836	21201
118	2862	21189
119	2884	21149
120	2905	21107
121	2927	21068
122	2950	21036
123	2970	20983
124	2989	20925
125	3013	20900
126	3036	20874
127	3054	20806
128	3073	20754
129	3090	20685
130	3114	20663
131	3137	20629
132	3157	20581
133	3178	20541
134	3201	20511
135	3218	20448
136	3240	20413
137	3264	20388
138	3284	20346
139	3296	20247
140	3317	20212
141	3336	20158
142	3357	20122
143	3379	20087
144	3406	20084
145	3427	20051
146	3448	20009
147	3468	19964
148	3488	19925
149	3513	19910
150	3531	19853
151	3553	19822
152	3573	19784
153	3585	19695
154	3602	19637
155	3613	19552
156	3633	19511
157	3652	19462
158	3669	19408
159	3688	19364
160	3705	19310
161	3724	19263
162	3747	19242
163	3767	19204
164	3781	19136
165	3800	19092
166	3814	19024
167	3832	18978
168	3849	18930
169	3859	18841
170	3873	18776
171	3887	18715
172	3908	18686
173	3925	18633
174	3945	18599
175	3963	18558
176	3974	18478
177	3995	18451
178	4008	18384
179	4016	18298
180	4031	18244
181	4048	18197
182	4066	18155
183	4084	18112
184	4099	18058
185	4113	18003
186	4126	17941
187	4144	17901
188	4160	17851
189	4174	17795
190	4190	17747
191	4208	17709
192	4225	17667
193	4237	17605
194	4253	17559
195	4271	17520
196	4284	17462
197	4294	17393
198	4308	17343
199	4324	17298
200	4342	17260
201	4361	17229
202	4375	17180
203	4389	17126
204	4405	17085
205	4423	17051
206	4441	17015
207	4451	16948
208	4464	16898
209	4485	16872
210	4504	16843
211	4520	16803
212	4538	16769
213	4555	16733
214	4570	16688
215	4590	16661
216	4606	16622
217	4622	16580
218	4642	16554
219	4657	16514
220	4674	16476
221	4692	16443
222	4710	16413
223	4731	16390
224	4751	16367
225	4770	16336
226	4786	16301
227	4802	16260
228	4817	16220
229	4834	16185
230	4853	16158
231	4871	16125
232	4886	16085
233	4903	16053
234	4918	16011
235	4935	15976
236	4946	15925
237	4965	15899
238	4983	15866
239	5000	15835
240	5012	15786
241	5030	15757
242	5045	15716
243	5060	15678
244	5077	15647
245	5090	15601
246	5108	15573
247	5126	15544
248	5143	15511
249	5160	15482
250	5167	15421
251	5186	15395
252	5204	15367
253	5222	15337
254	5251	15342
255	5265	15301
256	5305	15337
257	5343	15368
258	5371	15366
259	5386	15330
260	5403	15298
261	5417	15261
262	5442	15252
263	5461	15225
264	5470	15171
265	5487	15142
266	5503	15110
267	5519	15074
268	5536	15045
269	5555	15019
270	5571	14988
271	5585	14948
272	5600	14915
273	5616	14882
274	5623	14825
275	5641	14798
276	5658	14769
277	5670	14726
278	5686	14693
279	5694	14643
280	5709	14608
281	5718	14558
282	5732	14523
283	5749	14496
284	5762	14456
285	5777	14423
286	5786	14376
287	5803	14348
288	5812	14299
289	5824	14260
290	5838	14225
291	5853	14192
292	5862	14145
293	5877	14113
294	5896	14091
295	5907	14050
296	5921	14017
297	5937	13986
298	5949	13947
299	5967	13924
300	5984	13898
301	5999	13867
302	6009	13823
303	6016	13774
304	6030	13741
305	6039	13697
306	6056	13670
307	6073	13646
308	6088	13614
309	6102	13582
310	6114	13546
311	6122	13501
312	6136	13467
313	6152	13440
314	6169	13415
315	6186	13389
316	6202	13363
317	6219	13339
318	6237	13315
319	6253	13289
320	6263	13249
321	6277	13217
322	6295	13194
323	6310	13166
324	6323	13133
325	6339	13106
326	6355	13080
327	6373	13057
328	6388	13028
329	6402	12999
330	6417	12970
331	6429	12935
332	6444	12908
333	6460	12882
334	6475	12853
335	6491	12828
336	6507	12802
337	6521	12771
338	6536	12745
339	6554	12722
340	6571	12699
341	6580	12659
342	6595	12633
343	6608	12601
344	6626	12580
345	6644	12558
346	6660	12534
347	6677	12511
348	6694	12486
349	6706	12454
350	6722	12430
351	6741	12409
352	6754	12379
353	6767	12348
354	6780	12318
355	6792	12287
356	6804	12256
357	6820	12231
